name,red,green,blue,alpha,id
instance0,0,0,0,255,0
instance1,31,127,1,255,1
instance2,62,254,2,255,2
instance3,93,126,3,255,3
instance4,124,253,4,255,4
instance5,155,125,5,255,5
instance6,186,252,6,255,6
instance7,217,124,7,255,7
instance8,248,251,8,255,8
instance9,24,123,9,255,9
instance10,55,250,10,255,10
instance11,86,122,11,255,11
instance12,117,249,12,255,12
instance13,148,121,13,255,13
instance14,179,248,14,255,14
instance15,210,120,15,255,15
instance16,241,247,16,255,16
instance17,17,119,17,255,17
instance18,48,246,18,255,18
instance19,79,118,19,255,19
unlabelled,100,100,100,255,1
